Título da Obra;isbn;qualis
Educação Superior nos Estados Unidos - História e Estrutura;9790000000000 ;L4
El hilo de Ariadna en la sociedad del conocimiento;9788494512810 ;L2
El mundo árabe desde Sudamerica: Posicionamientos y visiones a partir de la Primavera árabe;9789871751365 ;L2
El proceso de construcción de una comunidad en seguridad entre Bolivia, Brasil, Chile, Colombia, Ecuador y Perú.;9789972671364 ;L3
El proceso de integración de América Latina en el siglo XXI - La competencia-cooperación entre México y Brasil con la presencia ;9786079371999 ;L3
El votante latinoamericano - Comportamiento electoral y comunicación política;9786079423629 ;L4
ELEIÇÕES E REPRESENTAÇÃO POLÍTICA NOS MUNICÍPIOS BRASILEIROS;9788575166 ;L3
ELEIÇÕES NÃO SÃO PARA PRINCIPIANTES - INTERPRETANDO EVENTOS ELEITORAIS NO BRASIL;9788536247366 ;L2
Eleições nas Capitais Brasileiras em 2012: Estudos sobre o HGPE em disputas municipais.;9788591519507 ;L1
Elementos de comunicação e Marketing Político;9788578971762 ;L1
Elites e trabalho no Brasil e no Uruguai: as origens do debate atual;9790000000000 ;L2
Em defesa de uma opinião pública democrática: conceitos, entraves e desafios;9790000000000 ;L2
EMERGING POWERS AND THE UN;9780000000000 ;L3
Empresa Trnasnacionais e produção de agrocombustíveis no Brasil;9790000000000 ;L1
Empresário, desenvolvimento, cultura e democracia;9790000000000 ;L3
Enciclopédia das Relações Internacionais;97900000000000 ;L2
ENCICLOPÉDIA DE GUERRAS E REVOLUÇÕES;9790000000000 ;L2
ENCICLOPÉDIA DE GUERRAS E REVOLUÇÕES VOLUME II;9790000000000 ;L2
Encontros com Moçambique;9788580062083 ;L2
Enduring NATO, Rising Brazil: Managing International Security in a Recalibrating Global Order;9790000000000 ;L3
Enhancing the Brazil-EU strategic partnership;9790000000000 ;L4
Ensaio IBRE de economia brasileria I;9790000000000 ;L2
Ensaios IBRE de economia brasileira - II;9790000000000 ;L2
Ensino de Sociologia: Direitos Humanos, Sociais, Educação e Saúde;9790000000000 ;L3
Entre espacios: la historia latinoamericana en el contexto global Actas del XVII Congreso de la Asociación de Historiadores Latinoamericanistas Europeos (AHILA), Berlin (2014);9783944675350 ;L2
Epistemologia e limites da racionalidade jurídica: um estudo da teoria da proporcionalidade;9790000000000 ;L1
Equidad e Inclusión Social: Superando desigualdades hacia sociedades más inclusivas;9780827065932 ;L1
Escenarios de integración, Sudeste Asiático-América del Sur. Hacia la construcción de vínculos estratégicos;9790000000000 ;L2
Escola e sociedade: construtos histórico-culturais;9788550900018 ;L2
Escola Unesp de liderança e gestão: instrumento para excelência de gestão institucional;9788579837340 ;L1
Estado, Direito e Cidadania em Perspectiva comparada;9790000000000 ;L1
Estado/Movimentos sociais no campo: a trama da construção conjunta de uma política pública no Maranhão;9790000000000 ;L2
Estados Unidos y la nueva correlación de fuerzas internacional;9789877221824 ;L3
Estratégias de Defesa Nacional: desafios para o Brasil no novo milênio;9790000000000 ;L3
Estrutura e dinâmicas socioespaciais urbanas no Rio Grande do Sul: transformações em tempos de globalização (1991-2010);9788563800206 ;L2
Estudos americanos em perspectiva: relações internacionais, politica externa e ideologias;9788581922 ;L3
Estudos Interdisciplinares em Sociologia do Esporte - III EPSE - Aspectos Filosóficos, Sociais, Políticos e Econômicos;9788564842113 ;L2
Estudos Interdisciplinares: direito, política e sociedade;9790000000000 ;L1
Estudos sobre elites políticas e culturais.;9788578625573 ;L3
Estudos sobre Elites Políticas e Culturais. Vol 2: Reflexões e aplicações não canônicas;9788578625573 ;L3
Experiência democrática, sistema político e participação popular;9790000000000 ;L1
Experiências brasileiras e desafios para fortalecimento de alianças público-privadas para o desenvolvimento;9790000000000 ;L2
Experiências de participação institucionalizada;9788562707407 ;L1
FAB- Força Aérea Brasileira: os reflexos do alinhamento com os Estados Unidos entre 1941 e 1948;9788536251745 ;L3
FAMÍLIA: NOVOS CONCEITOS;9790000000000 ;L1
Federalismo e Políticas Públicas no Brasil;9790000000000 ;L2
Feminismo e política: uma introdução;9790000000000 ;L2
Filosofia Constitucional e Teoria do Direito;9790000000000 ;L1
"Finanças Públicas: da contabilidade criativa ao resgate da credibilidade; Organizadores: Felipe Salto e Mansueto Almeida";9788501091710 ;L1
FLORESTAN FERNANDES, 20 ANOS DEPOIS ? UM EXERCÍCIO DE MEMÓRIA;9790000000000 ;L1
FOREIGN POLICY DECISION-MAKING UNDER THE GEISEL GOVERNMENT: - THE PRESIDENT, THE MILITARY AND THE FOREIGN MINISTRY;9790000000000 ;L4
Fórum Social Mundial: a transnacionalização da sociedade civil brasileira;9790000000000 ;L2
FRENTES DE EXPANSÃO E ESTRUTURA AGRÁRIA: Estudo do processo de penetração numa área da Transamazônica;9790000000000 ;L4
Fronteiras contemporânas comparadas: relações internacionais e segurança regional no Brasil e na União Europeia;9788562359521 ;L1
Fronteiras em Perspectiva Comparada e Temas de Defesa e Segurança da Amazônia;9790000000000 ;L1
Fugitive Rousseau: Slavery, Primitivism, and Political Freedom;9780000000000 ;L4
Futebol, o outro lado do jogo;9790000000000 ;L1
Gênero e racismo : múltiplos olhares.;9788577722419 ;L1
Gênero, Sexualidade e Direito: uma introdução;9788564912861 ;L3
Geopolítica e projeção do Brasil : um olhar da História Regional;9788567182087 ;L1
Gestão de Políticas Públicas de Direitos Humanos;9788525600776 ;L2
Gestão e políticas públicas no cenário contemporâneo: tendências nacionais e internacionais;9788575414774 ;L2
Governança das Redes e o Marco Civil da Internet: Liberdades, Privacidade e Democracia;9788588221567 ;L4
Governo na Web: reflexões teóricas e práticas;9790000000000 ;L3
Greves no Brasil (de 1968 aos dias atuais): depoimentos de liderança;9788524924545 ;L3
Handbook on Complexity and Public Policy;9780000000000 ;L2
HANDBOOK ON THE ECONOMICS OF RECIPROCITY AND SOCIAL ENTERPRISE;9780000000000 ;L2
Handbuch Transitional Justice;9780000000000 ;L2
Health, Nature and Quality of Life - Towards BRICS Wellness Index;8171221203 ;L2
Hegemonia, revolução passiva e globalização: O sistema G7/8;9790000000000 ;L3
História da África e dos Africanos.;9790000000000 ;L3
Historia da Política Exterior do Brasil;9790000000000 ;L3
História do Cone Sul;9790000000000 ;L2
HISTÓRIA GERAL DO BRASIL;9788535285437 ;L3
HISTÓRIA SOCIAL, ECONÔMICA E POLÍTICA DE PINHEIRO;9790000000000 ;L1
História Social, Econômica e Política de Pinheiro;9790000000000 ;L1
HISTÓRIA, ESTRATÉGIA E DESENVOLVIMENTO;9790000000000 ;L1
Historiadores pela Democracia: o golpe de 2016 e a força do passado;8579394082 ;L2
Honduras 2013 : golpe de estado, elecciones y tensiones del orden político;9790000000000 ;L2
Hospitality and World Politics;9781137289995 ;L2
I Atlas da Municipalização da Segurança Pública do Rio Grande do Sul;9788584430239 ;L1
I Encontro Brasileiro de Estudos Estratégicos e Relações Internacionais (EBERI I - ANAIS);9790000000000 ;L1
I Encontro de Internacionalização do CONPEDI;9790000000000 ;L1
Iberoamérica: miradas estratégicas en el siglo XXI;9790000000000 ;L3
Illiberal Practices: Territorial variance within large federal democracies;9781421419589 ;L3
Illusions of Terrorism and Counter terrorism;9780197265901 ;L4
Imagens em movimento;9788555264177 ;L1
Impasses da Democracia no Brasil;9788520012727 ;L3
In: Alexandre Queiroz Guimarães. (Org.). Ideias em Desenvolvimento: políticas para a promoção do avanço econômico em Minas Gerais;9790000000000 ;L2
In: Carlos Schmidt Arturi. (Org.). Políticas de Defesa, Inteligência e Segurança;9788538602514 ;L3
In: Emannuel Brunet-Jailly. (Org.). Border Disputes: A Global Encyclopedia;9781610690232 ;L2
"In: MONTEIRO, Álvaro; WINAND, Érica; GOLDONI, Luiz Rogério. (Org.). Pensamento Brasileiro em Defesa/VI ENABED. 1ed.Aracaju: UFS/ABED, 2013, v. 1, p. 149-178.";9790000000000 ;L1
Inovação, Governança Digital e Políticas Públicas: Conquistas e Desafios para a Democracia;9788582382257 ;L2
Instituições, Política e Desenvolvimento;9790000000000 ;L3
Instituições, Política e Desenvolvimento: América Latina frente ao século XXI;9790000000000 ;L3
Instituto Brasileiro de Direito Urbanístico, 10 anos: ma nova agenda para o Direito;9790000000000 ;L1
Insurreição de saberes 2: reinterpretações em movimento;9790000000000 ;L2
Insurreição de saberes: tradição quilombola em contexto de mobilização;9788578832667 ;L2
Integración y cooperación regional en América Latina: una relectura a partir de la teoría de la autonomia.;9790000000000 ;L1
INTELECTUAIS NA AMÉRICA LATINA: PENSAMENTO, CONTEXTOS E INSTITUIÇÕES. DOS PROCESSOS DE INDEPENDÊNCIA À GLOBALIZAÇÃO;9790000000000 ;L3
Inteligência de Segurança Pública: Teoria e Prática no Controle da Criminalidade;9790000000000 ;L1
Intelligence Management in the Americas;9781932946437 ;L2
Intergovernmental Relations in Federal Systems: Comparative Structures and Dynamics;13:9780199022267.;L2
International Organization and Global Governance;9780415627603 ;L3
Internet e Eleições 2014 no Brasil;9788591519521 ;L1
Internet e eleições no Brasil;9788591519521 ;L1
Internet e Poder Local;8790000000000 ;L1
Intersecting Interregionalism: regions, global governance and the EU.;9790000000000 ;L4
Introdução ao planejamento portuário;9788571297975 ;L1
Introducción a las Relaciones Internacionales: América Latina y la Política Global;9790000000000 ;L3
Invertendo a Situação: As reformas da Previdência e a comparação discursiva entre PSDB e PT.;9780000000000 ;L2
IV ÁLBUM DO FÓRUM DA MULHER;0 ;L1
Jornalismo e Poder Legislativo - Relações entre mídia e política no Brasil. 1a ed.Curitiba: Annris, 2015, v. 1, p. 170-189.;9790000000000 ;L1
Jubilut, L.L. (Org.). Direito Internacional Atual. 1ed.Rio de Janeiro: Campus-Elsevier, 2014, v. 1, p. 155-180.;9788535276763 ;L1
Jurisdição constitucional e democracia;9788576961864 ;L1
Justiça de Transição nas Américas: Olhares interdisciplinares, fundamentos e padrões de efetivação;9790000000000 ;L3
Justiça de Transição nos 25 anos da Constituição de 1988;9790000000000 ;L3
Justiça de Transição: contornos do conceito;9788564421431 ;L3
Justiça de Transição: reparação, verdade e justiça: perspectivas comparadas Brasil-Espanha;9790000000000 ;L3
Justiça e Competição Eleitoral;9788565212199 ;L2
JUSTIÇA E DIREITOS HUMANOS : OLHARES CRÍTICOS SOBRE O JUDICIÁRIO EM 2015;9788562884207 ;L1
JUSTIÇA PELA QUALIDADE NA EDUCAÇÃO;9790000000000 ;L2
Justicça de Transição nas Américas: olhares interdisciplinares, fundamentos e padrões de efetivação;9790000000000 ;L3
L HYBRIS MODERNE: SÉCULARISATION, NIHILISME ET ESSEULEMENT. LA CRITIQUE RELIGIEUSE DE L GE MODERNE PAR HANNAH ARENDT;9780000000000 ;L4
La construction du Parlement du Mercosur: régionalisme et démocratie en Amérique du sud.;2879745829 ;L4
La integración de políticas públicas para el desarrollo. Brasil y México en perspectiva comparada;9790000000000 ;L3
La integración regional en América Latina: Quo Vadis? El Mercosur desde uma perspectiva sectorial y comparada;9790000000000 ;L4
LA MULTIDIMENSIONALIDAD DE LA SEGURIDAD NACIONAL: RETOS Y DESAFÍOS DE LA REGIÓN PARA SU IMPLEMENTACIÓN. VIII SEMANA IBEROAMERICANA;9790000000000 ;L2
La representación política de cara al futuro: desafios para la participación y inclusión democráticas in México;9786074791266 ;L4
L'analyse des politiques publiques au Brésil;9782343019253 ;L4
Las Relaciones Comerciales entre América Latina y Asia Pacífico: desafíos y oportunidades;9790000000000 ;L3
Latinoamerica dividida? Procesos de integración y cooperación Sur-Sur;9789942950543 ;L4
Laying the BRICS of a New Global Order;9780000000000 ;L1
Le Brésil - Territoire d'Histoire: historiographie du Brésil contemporain;9780000000000 ;L1
Legacies of State Violence and Transitional Justice in Latin America: A Janus-Faced Paradigm?;9780000000000 ;L3
Legalität ohne Legitimität?;9780000000000 ;L1
LEGISLAÇÃO BRASILEIRA SOBRE MEIO AMBIENTE: BIODIVERSIDADE;9790000000000 ;L1
Legislativo e Democracia - Reflexões sobre a Câmara dos Deputados;9790000000000 ;L1
Legislativo e Democracia Representativa;9790000000000 ;L1
Legislativo pós-1968: reflexões e perspectivas;9790000000000 ;L1
Leituras Críticas sobre Gabriel Cohn;9790000000000 ;L2
Leituras Críticas sobre Wanderley Guilherme dos Santos;9790000000000 ;L2
Ler Althusser;9788579838187 ;L3
Les échanges culturels internationaux. France. Brésil, Canada-Québec (XIXe-XXe siècles);9780000000000 ;L3
Les relations professionnelles en Europeeten Amérique latin;9782753528925 ;L2
Léxico da História dos Conceitos Políticos do Brasil.;9790000000000 ;L4
Léxico da História dos Conceitos Políticos do Brasil. 2a.ed.Belo Horizonte;9790000000000 ;L4
Liberdade de expressão: as várias faces de um desafio;9790000000000 ;L2
Licenciamento Ambiental para o Desenvolvimento Urbano: avaliação de instrumentos e procedimentos;9790000000000 ;L3
Linhas cruzadas sobre as relações entre os Estados Unidos e a Alemanha;9788539306374 ;L4
LOCAL OWNERSHIP IN SECURITYCASE STUDIES OF PEACEBUILDING APPROACHES;9790000000000 ;L3
Los BRICS en la construcción de la multipolaridad: ¿reforma o adaptación?;9790000000000 ;L3
Los Estudios Laborales en América Latina;9788416421305 ;L3
Los servicios en el Derecho Internacional Privado;9790000000000 ;L1
Los sistemas de partidos en America Latina (1978-2015): cono sur y países andinos;9786078510092 ;L4
Luis Moita, Luís Tomé. (Org.). Janus - Anuário de Relações Internacionais. 1ed.Lisboa: Cooperativa de Ensino Universitário, CRL, 2014, v. 16;9790000000000 ;L2
Luis Moita. (Org.). Janus 2014. Metamorfoses da Violencia (1914-2014). 1ed.Lisboa: Universidade Autonoma de Lisboa, 2014, v. 16;9790000000000 ;L2
"Lutas em memória: A luta pela ""terra"" reforçada pela luta em defesa dos ""territórios"" quilombolas";978589274446 ;L2
Making Brazil Work: Checking the president in a multiparty system.;1137310839 ;L4
Making Sense, Making Worlds: Constructivism in Social Theory and International Relations .;415624177 ;L3
Mandado de Injunção: estudos sobre sua regulamentação;9790000000000 ;L1
Manifestações no Brasil: as ruas em disputa;9788565505895 ;L1
Manifesto Convivialista: declaração de interdependência (edição brasileira comentada).;9788539108015 ;L2
Manual de Relaciones Internacionales. Herramientas para la comprensión de la disciplina;9562849760 ;L2
Mapeamento da base industrial de defesa (Defense industrial base mapping);9788561323417 ;L3
Mapeamento da Base Industrial de Defesa: Plataforma Terrestre Militar;9788561323417 ;L3
Mapeando o Envelhecimento Populacional: A cidade de Belo Horizonte nos anos de 1991 e 2000;9780000000000 ;L3
Maringá: Transformações na ordem urbana.;9790000000000 ;L4
Marx e a dialética da sociedade civil;9788579835964 ;L2
Marx e Habermas: Teoria crítica e os sentidos da emancipação;9788502203280 ;L2
Marx Selvagem;9790000000000 ;L4
Marxismo: cultura e educação. Contribuições do VII Colóquio Internacional Marx Engels;9790000000000 ;L1
MEDIO AMBIENTE Y DESARROLLO: MIRADAS FEMINISTAS DESDE AMBOS HEMISFERIOS;9790000000000 ;L4
Meio Ambiente: Debate político central do Século XXI;9790000000000 ;L2
Memória e Transformação Social;9788599274514 ;L1
Mercosul 21 Anos: Maioridade ou Imaturidade?;9790000000000 ;L2
Mercosul 25 anos: avanços, impasses e perspectivas.;9788561336219 ;L4
Mercosul a Unasul: avanços do processo de integração;9788528304596 ;L3
Mérito, Desempenho e Resultados: Ensaios sobre Gestão de Pessoas para o Setor Público;9790000000000 ;L1
Metodologia em Ciências Sociais hoje;9788546203840 ;L3
Metodologia em Ciências Sociais Hoje - Volume 1;9788546203840 ;L3
Metodologia em Ciências Sociais Hoje - Volume 2 Práticas, Abordagens e Experiências de Investigação;9788546203741 ;L3
Mídia e Cultura Contemporânea - Série Mercado, Volume 1;9788556960160 ;L1
Mídia e Sociedade em Transformação;9788579837487 ;L1
Migrações Iberoamericanas. Las migraciones Espanã - Brasil;9790000000000 ;L2
Migrantes, apátridas e refugiados: subsídios para o aperfeiçoamento de acesso a serviços, direitos e políticas públicas no Brasil;21755760 ;L3
Militares e democracia: Estudos sobre identidade militar;9788579837159 ;L2
Modelo Integrado de Transformação Institucional: o caso do Ministério do Desenvolvimento, Indústria e Comércio Exterior;9790000000000 ;L3
Modos da margem: figurações da marginalidade na literatura brasileira;9790000000000 ;L2
Monarquia sem despotismo e liberdade sem anarquia: o pensamento político do Marquês de Caravelas;9790000000000 ;L2
Monsanto and Intellectual Property in South America;9780000000000 ;L3
MOVIMENTOS SOCIAIS E ENGAJAMENTO POLÍTICO: TRAJETÓRIAS E TENDÊNCIAS ANALÍTICAS;9790000000000 ;L2
Mudanças climáticas e as cidades: novos e antigos debates na busca da sustentabilidade urbana e social.;9790000000000 ;L3
Mulheres Brasileiras e Gênero nos Espaços Públicos e Privado: uma década de mudanças na opinião pública;9790000000000 ;L1
Mulheres Rurais e Violência - Algumas abordagens;9788578624859 ;L2
Mulheres, feminismo e ação política no Brasil;9788567442556 ;L3
Multilateralismo nas Relações Internacionais;9790000000000 ;L1
Natal: transformações na ordem urbana;9790000000000 ;L2
NAVEGAÇÃO A VAPOR NA BAHIA OITOCENTISTA (1839-1894);9790000000000 ;L2
Negócios Internacionais: Perspectivas Brasileiras;9878535279306 ;L2
Nice Guerreira: Mulher, Quilombola e e Extrativista da Floresta;9788599274408 ;L2
Norberto Bobbio: democracia, direitos humanos,guerra e paz;9790000000000 ;L1
Nordeste 2010 os Sentidos do Voto II: Análises interpretativas dos resultados eleitorais nos estados do Nordeste;9788570196613 ;L2
Nos Rastros da Natureza;9788547300241 ;L2
Nouvelle politique étrangère;9782760544963 ;L4
Nova Ordem Ambiental Internacional e Desenvolvimento Sustentável.;9790000000000 ;L2
Novas interpretações desenvolvimentistas;9790000000000 ;L1
Novos olhares sobre a imigração ibérica em America Latina (séculos XIX e XX)s;9790000000000 ;L2
O BRASIL E A COOPERAÇÃO SUL-SUL: DILEMAS E DESAFIOS NA AMÉRICA DO SUL/ BRAZIL AND SOUTH-SOUTH COOPERATION: DILEMMAS AND CHALLENGES IN SOUTH AMERICA (2ª;9788523215439 ;L4
O Brasil e a segurança no seu entorno estratégico: América do Sul e Atlântico Sul;9790000000000 ;L3
O Brasil e as novas dimensões da integração regional;9790000000000 ;L3
O Brasil, a China e os Estados Unidos na atual conjuntura da Economia-mundo capitalista;9790000000000 ;L3
O Brasil, os BRICS e a agenda internacional;8756314274 ;L2
O Caótico Século XXI;9790000000000 ;L2
O Cinquentenário dos Dois Pactos de Direitos Humanos da ONU - Volume 1;9788542008715 ;L3
O CINQUENTENÁRIO DOS DOIS PACTOS DE DIREITOS HUMANOS DA ONU - VOLUME 2;9788542008722 ;L3
O congresso nacional e o desmatamento na Amazônia;9790000000000 ;L1
O congresso nacional, os partidos políticos e o sistema de integridade;9790000000000 ;L2
O Congresso Nacional, os partidos políticos e o sistema de Integridade: representação, participação e controle interinstitucional;9790000000000 ;L2
O CRIME PELO AVESSO. GESTÃO DOS ILEGALISMOS NA CIDADE DE SÃO PAULO;9788579393785 ;L3
O Devido Processo Legal na Agência Nacional de Telecomunicações - ANATEL;9790000000000 ;L2
O direito achado na rua: introdução crítica à justiça de transição na América Latina. 1ed.Brasília: UnB, 2015, v. , p. 51-54.;9790000000000 ;L1
O direito internacional em movimento: jurisprudência internacional comentada: Corte Internacional de Justiça e Supremo Tribunal Federal;9788569336020 ;L2
O elo entre regimes políticos domésticos e adesão a regimes internacionais;9788544407639 ;L2
O futuro que queremos - Guia de estudos FACAMP Model United Nations 2016;9788566734096 ;L2
O Governo JK e as raízes getulistas da orientação do capitalismo no Brasil;9788555070310 ;L3
O imbróglio do clima: ciência, política e economia;9790000000000 ;L1
O Jornalismo Político nos Processos Eleitorais;9788563448347 ;L3
O Mundo em Desenvolvimento: Guia de Estudos FACAMP Model United Nations 2013;9788566734027 ;L1
O NASCIMENTO DA POLÍTICA MODERNA: DE MAQUIAVEL A HOBBES;9790000000000 ;L2
O Nordeste Brasileiro em Questão: Uma Agenda para a Reflexão;9788567579078 ;L1
O Nordeste Brasileiro em questão: uma agenda para a reflexão;9788567579078 ;L1
O Nordeste Brasileiro em Questão: Uma Agenda para a Reflexão 2;9788567579078 ;L1
O Papel da Teoria Política Contemporânea: Justiça, Constituição, Democracia e Representação;9790000000000 ;L2
O Peso do Estado na Pátria do Mercado - Estados Unidos como país em desenvolvimento;9788539305018 ;L4
O poder e a finança internacional. A INTERNACIONAL DO CAPITAL FINANCEIRO;9790000000000 ;L1
O PRESIDENCIALISMO DA COALIZÃO;9788575041987 ;L4
O Processo Legislativo, o Orçamento Público e a Casa Legislativa;9790000000000 ;L1
O QUE É SER DE ESQUERDA?;9781119714 ;L1
O que é ser esquerda hoje?;9768589216234 ;L1
O que os médicos precisam saber sobre seus direitos;9788568046012 ;L1
O trabalho na Economia Solidária: entre a precariedade e a emancipação;9790000000000 ;L2
O trabalho na Economia Solidária: entre a precariedade e a emancipação;9790000000000 ;L2
O trabalho na Economia Solidária: entre a precariedade e a emancipação;9790000000000 ;L2
O TRABALHO NA ECONOMIA SOLIDÁRIA: Entre a precariedade e a emancipação;9790000000000 ;L2
O trabalho na Economia Solidária: entre a precariedade e a emancipação;9790000000000 ;L2
O trabalho na Economia Solidária: entre a precariedade e a emancipação;9790000000000 ;L2
O Tribunal Penal Internacional: comentários ao estatuto de Roma;9788538404286 ;L3
O Voto para Presidente no Brasil;9790000000000 ;L2
O voto para presidente no Brasil (1989 a 2010): condicionantes e fatores explicativos;9790000000000 ;L2
Observatório de análise política em saúde: abordagens, objetos e investigações;9788523215446 ;L3
Ocekadi : hidrelétricas, conflitos socioambientais e resistência na Bacia do Tapajós;9788599214046 ;L2
Olhando para dentro, 1930-1964;9788539004 ;L1
ONGs - Novos vínculos entre a sociedade e o Estado;9790000000000 ;L3
Operações de Manutenção de Paz das Nações Unidas: Reflexões e debates;9788539305179 ;L3
Organizações internacionais de integração regional : União Europeia, Mercosul e Unasul.;9788578400866 ;L3
ORGANIZAÇOES INTERTNACIONAIS. HISTÓRIA E PRÁTICAS;9790000000000 ;L2
Os Complexos Regionais de Segurança do século XXI - conflitos, agendas e ameaças;9788555072512 ;L1
Os desafios ambientais da Zona Costeira;9790000000000 ;L1
Os desafios da América Latina no século XXI;9788531415395 ;L3
Os Dilemas atuais do Brasil e da América Latina;9788579838149 ;L4
OS ESTADOS UNIDOS E A OMC: REFLEXÕES SOBRE A INFLUÊNCIA DOS EUA NO SISTEMA MULTILATERAL DE COMÉRCIO;9790000000000 ;L3
Os estertores do Código Florestal;9790000000000 ;L1
Os gigantes da Estratégia Naval - Alfred Thayer Mahan e Herbert William Richmond;9788568274286 ;L3
Os Leviatãs estão fora do lugar: democracia, globalização e transformações no papel do Estado 1990-2010;9788541506120 ;L4
Os partidos políticos e a dinâmica da sucessão presidencial de 2002;9790000000000 ;L2
Pacifismo e cooperação nas relações internacionais;9788581470504 ;L1
Panorama socioeconômico e perspectivas para a economia gaúcha;9788571731233 ;L1
Para a crítica do direito: reflexões sobre teorias e práticas jurídicas;9790000000000 ;L2
Para entender o desenvolvimento sustentável;9790000000000 ;L1
Paradoxos da Segurança Cidadã;9788586225963 ;L2
Parcerias Estratégicas do Brasil: a dimensão multilateral e as parcerias emergentes;9788580541 ;L3
PARLAMENTOS ABIERTOS A LA SOCIEDADPARTICIPACIÓN Y MONITORIZACIÓN;999999999999X;L1
Parliamentary dimensions of regionalization and globalization;9780000000000 ;L4
Participação Política na América Latina;9790000000000 ;L3
ParticiPação Política no Brasil: ação coletiva e interfaces socioestatais;9790000000000 ;L1
Particularidades da Política Externa do Governo Lula para a América do Sul;9790000000000 ;L3
Partidos políticos e eleições em perspectivas: ensaios e projetos de pesquisas;9783330749658 ;L1
Partidos políticos e seu regime jurídico: o desenho constitucional dos partidos políticos;987654451X;L1
Patrimônio cultural: identidades coletivas e reivindicações;9788578832599 ;L3
PAZ & TEORIAS DO ESTADO;9788555230882 ;L1
Paz e guerra Defesa e segurança entre as nações;9790000000000 ;L2
Peace Operations in the Francophone World: Global Governance meets Post-Colonialism;9780000000000 ;L3
Pela Mão de Bagé - Processo de Implantação do Observatório da Criminalidade de Bagé/RS a partir da pesquisa-ação em segurança cidadã;9788584430291 ;L1
Pensamento Brasileiro em Defesa:VI ENABED;9790000000000 ;L3
Pensamento comunicacional brasileiro. O legado das Ciências Humanas. Mídia e Consumo.;9790000000000 ;L1
Pensamento diplomático brasileiro: formuladores e agentes de política externa (1750-1964);9790000000000 ;L3
Performances interacionais e mediações sociotécnicas;9790000000000 ;L3
Perspectivas Asiáticas. 50ed.Rio de Janeiro: Centro Celso Furtado;9788561012731 ;L2
Perspectivas e Debates em Segurança, Defesa e Relações Internacionais;9790000000000 ;L2
Perspectivas para o Futuro da União Européia;9790000000000 ;L2
Pesquisa e ensino: ferramentas de gestão pública no RS;9790000000000 ;L2
Pesquisando os Militares Brasileiros. Experiências de cientistas sociais;9788555072208 ;L1
Piégés entre différents univers: une perspective postcoloniale sur la Mission des Nations Unies pour la stabilisation en Haïti (MINUSTAH);9782924142066 ;L3
Plágio e Redação Acadêmica;9788579393303 ;L2
PLANEJAMENTO BRASIL SÉCULO XXI - INOVAÇÃO INSTITUCIONAL E REFUNDAÇÃO ADMINISTRATIVA - elementos para o pensar e o agir -;9788578112608 ;L2
Pluralidade urbana em São Paulo - Vulnerabilidade, marginalidade, ativismos;9788573266184 ;L2
Pode Entrar;2015SP_8305;L1
Poder aéreo: guia de estudos;9788586739927 ;L1
Poder e Autonomia Nacional: guia de estudos Facamp Model United Nations 2015;9790000000000 ;L2
Poder Legislativo e política externa na América Latina;9789877220001 ;L3
Poder, riqueza e moeda na Europa Medieval: a preeminência naval, mercantil e monetária da sereníssima República de Veneza nos séculos XIII e XV.;9790000000000 ;L3
Poderes emergentes y Cooperación Sur-Sur : perspectivas desde el Sur Global;9789877021738 ;L3
Policy Analysis in Brazil;9780000000000 ;L3
Política da Regulação do Setor Elétrico: regras e incentivos institucionais;9790000000000 ;L1
Politica e Desenvolvimento Institucional no Legislativo de Minas Gerais;9788582290408 ;L2
Política e Direito em Norberto Bobbio: luzes para a liberdade a igualdade, a democracia e a república;9790000000000 ;L1
POLÍTICA E INSTITUIÇÕES NO BRASIL;9790000000000 ;L1
Política e literatura: Antonio Gramsci e a crítica italiana;9788579392382 ;L3
Política e Sociedade em cidade de porte médio: o caso de Maringá.;9790000000000 ;L1
Política exterior colombiana: escenarios y desafíos en el posconflitcto.;9789587169034 ;L3
POLÍTICA EXTERNA BRASILEIRA DURANTE O REGIME MILITAR (1964-1985)', ORGANIZADO POR ANDRÉ LUIZ REIS DA SILVA E EDUARDO MUNHOZ SVARTMAN;9790000000000 ;L3
Política externa brasileira, cooperação sul-sul e negociações internacionais;9790000000000 ;L2
POLÍTICA EXTERNA BRASILEIRA: UMA INTRODUÇÃO;9790000000000 ;L3
Política externa e democracia no Brasil: ensaio de interpretação histórica;9790000000000 ;L3
Política Externa e o Poder Legislativo no Brasil pós Redemocratização;9788576003519 ;L3
Política Internacional e Integración Regional Comparada en América Latina;9789977682815 ;L2
Política no Brasil;9788589739078 ;L1
Política, Cultura e Sociedade na América Latina : estudos interdisciplinares e comparativos;9788544408780 ;L1
Política, Cultura e Sociedade na América Latina, volume 2: estudos interdisciplinares e comparativos;9790000000000 ;L2
Políticas culturais e ambientais no Brasil: da normatividade às agências coletivas;9788567442716 ;L3
POLÍTICAS DE DEFESA, INTELIGÊNCIA E SEGURANÇA.;9790000000000 ;L3
Políticas e práticas culturais para a cidade de São Paulo;9788566241099 ;L2
Políticas educacionais e formação de professores: experiências e práticas pedagógicas;9788547302801 ;L1
Políticas públicas de formação e avaliação de leitores, ensino de literatura e leituras. 1ed. Campina Grande: EDUFCG, 2015, v. , p.13-26;9790000000000 ;L1
Políticas Públicas de Proteção aos Direitos Humanos: educação e segurança pública;9790000000000 ;L2
Políticas Públicas de proteção aos direitos humanos: segurança pública;9790000000000 ;L2
